step	 currentPrice	 reservedPrice	 alternativeChosen
0	0.0	0.0	0
1	0.0	0.0	0
2	0.0	0.0	0
3	0.0	0.0	0
4	0.0	0.0	0
5	0.0	0.0	0
6	0.0	0.0	0
7	0.0	0.0	0
8	0.0	0.0	0
9	0.0	0.0	0
10	0.0	0.0	0
11	0.0	0.0	0
12	0.0	0.0	0
13	0.0	0.0	0
14	0.0	0.0	0
15	0.0	0.0	0
16	0.0	0.0	0
17	0.0	0.0	0
18	0.0	0.0	0
19	0.0	0.0	0
20	0.0	0.0	0
21	0.0	0.0	0
22	0.0	0.0	0
23	0.0	0.0	0
24	0.0	0.0	0
25	0.0	0.0	0
26	0.0	0.0	0
27	0.0	0.0	0
28	0.0	0.0	0
29	0.0	0.0	0
30	0.0	0.0	0
31	0.0	0.0	0
32	0.0	0.0	0
33	0.0	0.0	0
34	0.0	0.0	0
35	0.0	0.0	0
36	0.0	0.0	0
37	0.0	0.0	0
38	0.0	0.0	0
39	0.0	0.0	0
40	0.0	0.0	0
41	0.0	0.0	0
42	0.0	0.0	0
43	0.0	0.0	0
44	0.0	0.0	0
45	0.0	0.0	0
46	0.0	0.0	0
47	0.0	0.0	0
48	0.0	0.0	0
49	0.0	0.0	0
50	0.0	0.0	0
51	0.0	0.0	0
52	0.0	0.0	0
53	0.0	0.0	0
54	0.0	0.0	0
55	0.0	0.0	0
56	0.0	0.0	0
57	0.0	0.0	0
58	0.0	0.0	0
59	0.0	0.0	0
60	0.0	0.0	0
61	0.0	0.0	0
62	0.0	0.0	0
63	0.0	0.0	0
64	0.0	0.0	0
65	0.0	0.0	0
66	0.0	0.0	0
67	0.0	0.0	0
68	0.0	0.0	0
69	0.0	0.0	0
70	0.0	0.0	0
71	0.0	0.0	0
72	0.0	0.0	0
73	0.0	0.0	0
74	0.0	0.0	0
75	0.0	0.0	0
76	0.0	0.0	0
77	0.0	0.0	0
78	0.0	0.0	0
79	0.0	0.0	0
80	0.0	0.0	0
81	0.0	0.0	1
82	0.0	0.0	0
83	0.0	0.0	0
84	0.0	0.0	0
85	0.0	0.0	0
86	0.0	0.0	0
87	0.0	0.0	0
88	0.0	0.0	0
89	0.0	0.0	0
90	0.0	0.0	0
91	0.0	0.0	0
92	0.0	0.0	0
93	0.0	0.0	0
94	0.0	0.0	0
95	0.0	0.0	0
96	0.0	0.0	0
97	0.0	0.0	0
98	0.0	8.333333333333334E-4	1
99	0.0	8.333333333333334E-4	0
100	0.0	8.333333333333334E-4	0
101	0.0	8.333333333333334E-4	0
102	0.0	8.333333333333334E-4	0
103	0.0	8.333333333333334E-4	0
104	0.0	8.333333333333334E-4	1
105	0.0	8.333333333333334E-4	0
106	0.0	8.333333333333334E-4	0
107	0.0	8.333333333333334E-4	0
108	0.0	8.333333333333334E-4	0
109	0.0	8.333333333333334E-4	0
110	0.0	8.333333333333334E-4	0
111	0.0	8.333333333333334E-4	1
112	0.0	8.333333333333334E-4	0
113	0.0	8.333333333333334E-4	0
114	0.0	8.333333333333334E-4	0
115	0.0	8.333333333333334E-4	0
116	0.0	8.333333333333334E-4	0
117	0.0	8.333333333333334E-4	0
118	0.0	8.333333333333334E-4	0
119	0.0	8.333333333333334E-4	0
120	0.0	8.333333333333334E-4	0
121	0.0	8.333333333333334E-4	0
122	0.0	8.333333333333334E-4	0
123	0.0	8.333333333333334E-4	0
124	0.0	8.333333333333334E-4	0
125	0.0	8.333333333333334E-4	0
126	0.0	8.333333333333334E-4	0
127	0.0	8.333333333333334E-4	0
128	0.0	8.333333333333334E-4	0
129	0.0	8.333333333333334E-4	0
130	0.0	8.333333333333334E-4	0
131	0.0	8.333333333333334E-4	0
132	0.0	8.333333333333334E-4	0
133	0.0	8.333333333333334E-4	0
134	0.0	8.333333333333334E-4	0
135	0.0	8.333333333333334E-4	0
136	0.0	8.333333333333334E-4	0
137	0.0	8.333333333333334E-4	0
138	0.0	8.333333333333334E-4	0
139	0.0	8.333333333333334E-4	0
140	8.333333333333334E-4	8.333333333333334E-4	1
141	8.333333333333334E-4	8.333333333333334E-4	0
142	8.333333333333334E-4	8.333333333333334E-4	0
143	8.333333333333334E-4	8.333333333333334E-4	0
144	8.333333333333334E-4	8.333333333333334E-4	0
145	8.333333333333334E-4	8.333333333333334E-4	0
146	8.333333333333334E-4	8.333333333333334E-4	0
147	8.333333333333334E-4	8.333333333333334E-4	0
148	8.333333333333334E-4	8.333333333333334E-4	0
149	8.333333333333334E-4	8.333333333333334E-4	0
150	8.333333333333334E-4	8.333333333333334E-4	0
151	8.333333333333334E-4	8.333333333333334E-4	0
152	8.333333333333334E-4	8.333333333333334E-4	0
153	8.333333333333334E-4	8.333333333333334E-4	0
154	8.333333333333334E-4	8.333333333333334E-4	1
155	8.333333333333334E-4	8.333333333333334E-4	0
156	8.333333333333334E-4	8.333333333333334E-4	0
157	8.333333333333334E-4	8.333333333333334E-4	0
158	8.333333333333334E-4	8.333333333333334E-4	0
159	8.333333333333334E-4	8.333333333333334E-4	0
160	8.333333333333334E-4	8.333333333333334E-4	0
161	8.333333333333334E-4	8.333333333333334E-4	0
162	8.333333333333334E-4	8.333333333333334E-4	1
163	8.333333333333334E-4	8.333333333333334E-4	0
164	8.333333333333334E-4	8.333333333333334E-4	0
165	8.333333333333334E-4	8.333333333333334E-4	0
166	8.333333333333334E-4	8.333333333333334E-4	0
167	8.333333333333334E-4	8.333333333333334E-4	0
168	8.333333333333334E-4	8.333333333333334E-4	1
169	8.333333333333334E-4	0.00125	0
170	8.333333333333334E-4	0.00125	0
171	8.333333333333334E-4	0.00125	0
172	8.333333333333334E-4	0.00125	0
173	8.333333333333334E-4	0.00125	0
174	8.333333333333334E-4	0.00125	1
175	8.333333333333334E-4	0.00125	0
176	0.0016666666666666668	0.00125	1
177	0.0016666666666666668	0.00125	0
178	0.0016666666666666668	0.00125	1
179	0.0016666666666666668	0.00125	0
180	0.0016666666666666668	0.00125	0
181	0.0016666666666666668	0.00125	1
182	0.0016666666666666668	0.00125	0
183	0.0016666666666666668	0.00125	0
184	0.0016666666666666668	0.00125	0
185	0.0016666666666666668	0.00125	0
186	0.0016666666666666668	0.00125	0
187	0.0016666666666666668	0.00125	0
188	0.0016666666666666668	0.00125	1
189	0.0016666666666666668	0.00125	1
190	0.0016666666666666668	0.00125	0
191	0.0016666666666666668	0.00125	0
192	0.0016666666666666668	0.00125	0
193	0.0016666666666666668	0.00125	0
194	0.0016666666666666668	0.00125	0
195	0.0016666666666666668	0.00125	0
196	0.0016666666666666668	0.00125	0
197	0.0016666666666666668	0.00125	1
198	0.0016666666666666668	0.00125	0
199	0.0016666666666666668	0.00125	0
200	0.0016666666666666668	0.00125	0
201	0.0016666666666666668	0.00125	0
202	0.0025	0.0020833333333333333	1
203	0.0025	0.0020833333333333333	1
204	0.0025	0.0020833333333333333	0
205	0.0025	0.0020833333333333333	0
206	0.0025	0.0020833333333333333	1
207	0.0025	0.0020833333333333333	0
208	0.0025	0.0020833333333333333	0
209	0.0025	0.0020833333333333333	0
210	0.0025	0.0020833333333333333	0
211	0.0025	0.0020833333333333333	0
212	0.0025	0.0020833333333333333	0
213	0.0025	0.0020833333333333333	0
214	0.0025	0.0020833333333333333	2
215	0.0025	0.0020833333333333333	0
216	0.0025	0.002916666666666667	0
217	0.0025	0.002916666666666667	1
218	0.0025	0.00375	1
219	0.0025	0.00375	0
220	0.0025	0.00375	0
221	0.0025	0.00375	1
222	0.0025	0.00375	0
223	0.0025	0.00375	0
224	0.0025	0.00375	0
225	0.0025	0.00375	0
226	0.0025	0.00375	0
227	0.0025	0.00375	0
228	0.0033333333333333335	0.004583333333333333	2
229	0.0033333333333333335	0.004583333333333333	1
230	0.0033333333333333335	0.004583333333333333	0
231	0.0033333333333333335	0.004583333333333333	0
232	0.0033333333333333335	0.004583333333333333	0
233	0.0033333333333333335	0.005416666666666667	2
234	0.0033333333333333335	0.005416666666666667	0
235	0.0033333333333333335	0.005416666666666667	0
236	0.0033333333333333335	0.005416666666666667	0
237	0.004166666666666667	0.00625	1
238	0.004166666666666667	0.00625	0
239	0.004166666666666667	0.00625	0
240	0.004166666666666667	0.00625	0
241	0.004166666666666667	0.00625	0
242	0.004166666666666667	0.00625	0
243	0.004166666666666667	0.00625	0
244	0.004166666666666667	0.00625	0
245	0.004166666666666667	0.00625	0
246	0.004166666666666667	0.00625	0
247	0.004166666666666667	0.00625	0
248	0.004166666666666667	0.00625	1
249	0.004166666666666667	0.007083333333333333	0
250	0.004166666666666667	0.007083333333333333	0
251	0.004166666666666667	0.007083333333333333	1
252	0.004166666666666667	0.007083333333333333	0
253	0.004166666666666667	0.007083333333333333	0
254	0.004166666666666667	0.007083333333333333	0
255	0.005	0.007916666666666667	1
256	0.005	0.007916666666666667	2
257	0.005	0.007916666666666667	0
258	0.005	0.007916666666666667	1
259	0.005	0.007916666666666667	1
260	0.005	0.007916666666666667	0
261	0.005	0.007916666666666667	0
262	0.005833333333333334	0.007916666666666667	2
263	0.005833333333333334	0.007916666666666667	0
264	0.005833333333333334	0.007916666666666667	0
