   step	 time	 cost	distance
  177	  9.8	 13.0	  9.6
  178	 10.0	 13.1	  9.7
  179	 10.1	 13.3	  9.9
  180	 10.2	 13.4	 10.0
  181	 10.3	 13.6	 10.1
  182	 10.4	 13.8	 10.2
  183	 10.5	 13.9	 10.4
  184	 10.6	 14.1	 10.5
  185	 10.7	 14.2	 10.6
  186	 10.8	 14.4	 10.7
  187	 10.9	 14.6	 10.9
  188	 11.0	 14.7	 11.0
  189	 11.1	 14.9	 11.1
  190	 11.3	 15.0	 11.2
  191	 11.4	 15.2	 11.4
  192	 11.5	 15.4	 11.5
  193	 11.6	 15.5	 11.7
  194	 11.7	 15.7	 11.8
  195	 11.8	 15.9	 11.9
  196	 11.9	 16.0	 12.1
  197	 12.1	 16.2	 12.2
  198	 12.2	 16.3	 12.3
  199	 12.3	 16.5	 12.5
  200	 12.4	 16.7	 12.6
  201	 12.5	 16.8	 12.8
  202	 12.7	 17.0	 12.9
  203	 12.8	 17.2	 13.0
  204	 12.9	 17.3	 13.2
  205	 13.0	 17.5	 13.3
  206	 13.2	 17.6	 13.5
  207	 13.3	 17.8	 13.6
  208	 13.4	 18.0	 13.7
  209	 13.6	 18.1	 13.9
  210	 13.7	 18.3	 14.0
  211	 13.8	 18.5	 14.2
  212	 13.9	 18.6	 14.3
  213	 14.1	 18.8	 14.5
  214	 14.2	 19.0	 14.6
  215	 14.3	 19.1	 14.8
  216	 14.5	 19.3	 14.9
  217	 14.6	 19.5	 15.1
  218	 14.7	 19.6	 15.2
  219	 14.9	 19.8	 15.4
  220	 15.0	 20.0	 15.5
  221	 15.2	 20.2	 15.7
  222	 15.3	 20.3	 15.8
  223	 15.4	 20.5	 16.0
  224	 15.6	 20.7	 16.1
  225	 15.7	 20.9	 16.3
  226	 15.8	 21.1	 16.4
  227	 16.0	 21.2	 16.6
  228	 16.1	 21.4	 16.7
  229	 16.3	 21.6	 16.8
  230	 16.4	 21.8	 17.0
  231	 16.6	 22.0	 17.1
  232	 16.7	 22.2	 17.3
  233	 16.8	 22.4	 17.5
  234	 17.0	 22.5	 17.6
  235	 17.1	 22.7	 17.8
  236	 17.3	 22.9	 17.9
  237	 17.4	 23.1	 18.1
  238	 17.6	 23.3	 18.2
  239	 17.7	 23.5	 18.4
  240	 17.9	 23.7	 18.5
  241	 18.0	 23.9	 18.7
  242	 18.2	 24.1	 18.8
  243	 18.3	 24.3	 19.0
  244	 18.5	 24.5	 19.1
  245	 18.6	 24.7	 19.3
  246	 18.8	 24.9	 19.4
  247	 19.0	 25.1	 19.6
  248	 19.1	 25.3	 19.7
  249	 19.3	 25.5	 19.9
  250	 19.4	 25.7	 20.0
  251	 19.6	 25.9	 20.2
  252	 19.7	 26.1	 20.3
  253	 19.9	 26.2	 20.5
  254	 20.1	 26.4	 20.7
  255	 20.2	 26.7	 20.8
  256	 20.4	 26.9	 21.0
  257	 20.6	 27.1	 21.1
  258	 20.7	 27.3	 21.3
  259	 20.9	 27.5	 21.4
  260	 21.0	 27.7	 21.6
  261	 21.2	 27.9	 21.7
  262	 21.4	 28.1	 21.9
  263	 21.5	 28.3	 22.1
  264	 21.7	 28.5	 22.2
  265	 21.9	 28.7	 22.4
  266	 22.0	 28.9	 22.5
  267	 22.2	 29.2	 22.7
  268	 22.4	 29.4	 22.9
  269	 22.5	 29.6	 23.0
  270	 22.7	 29.8	 23.2
  271	 22.9	 30.0	 23.3
  272	 23.1	 30.2	 23.5
  273	 23.2	 30.5	 23.7
  274	 23.4	 30.7	 23.8
  275	 23.6	 30.9	 24.0
  276	 23.7	 31.1	 24.2
  277	 23.9	 31.4	 24.3
  278	 24.1	 31.6	 24.5
  279	 24.3	 31.8	 24.7
  280	 24.4	 32.0	 24.8
  281	 24.6	 32.3	 25.0
  282	 24.8	 32.5	 25.2
  283	 24.9	 32.7	 25.4
  284	 25.1	 33.0	 25.5
  285	 25.3	 33.2	 25.7
  286	 25.5	 33.4	 25.9
  287	 25.7	 33.6	 26.1
  288	 25.8	 33.9	 26.3
  289	 26.0	 34.1	 26.4
  290	 26.2	 34.3	 26.6
  291	 26.4	 34.6	 26.8
  292	 26.5	 34.8	 27.0
  293	 26.7	 35.0	 27.2
  294	 26.9	 35.3	 27.4
  295	 27.1	 35.5	 27.6
  296	 27.3	 35.7	 27.8
  297	 27.5	 36.0	 28.0
  298	 27.6	 36.2	 28.2
  299	 27.8	 36.5	 28.4
  300	 28.0	 36.7	 28.6
  301	 28.2	 36.9	 28.8
  302	 28.4	 37.2	 29.0
  303	 28.5	 37.4	 29.2
  304	 28.7	 37.7	 29.4
  305	 28.9	 37.9	 29.6
  306	 29.1	 38.1	 29.8
  307	 29.3	 38.4	 30.0
  308	 29.5	 38.6	 30.2
  309	 29.7	 38.9	 30.4
  310	 29.9	 39.1	 30.7
  311	 30.1	 39.3	 30.9
  312	 30.2	 39.6	 31.1
